#"","INTLDES","NORAD_CAT_ID","OBJECT_TYPE","SATNAME","COUNTRY","LAUNCH","SITE","DECAY","PERIOD","INCLINATION","APOGEE","PERIGEE","COMMENT","COMMENTCODE","RCSVALUE","RCS_SIZE","FILE","LAUNCH_YEAR","LAUNCH_NUM","LAUNCH_PIECE","CURRENT","OBJECT_NAME","OBJECT_ID","OBJECT_NUMBER"
"29688","1998-067HT",41463,"PAYLOAD","DIWATA-1","RP","1998-11-20","TTMTR","",90.95,51.63,322,321,"",NA,0,"MEDIUM",7013,1998,67,"HT","Y","DIWATA-1","1998-067HT",41463
"29689","1984-095A",15259,"PAYLOAD","COSMOS 1593 (GLONASS)","CIS","1984-09-04","TTMTR","",675.72,64.09,19189,19070,"",NA,0,"LARGE",6992,1984,95,"A","Y","COSMOS 1593 (GLONASS)","1984-095A",15259
"29690","1991-082A",21798,"PAYLOAD","DMSP 5D-2 F11 (USA 73)","US","1991-11-28","AFWTR","",101.66,98.92,846,829,"",NA,0,"LARGE",7014,1991,82,"A","Y","DMSP 5D-2 F11 (USA 73)","1991-082A",21798
"29691","1981-022A",12320,"PAYLOAD","COSMOS 1250","CIS","1981-03-06","PKMTR","",114.45,74.03,1471,1389,"",NA,0,"MEDIUM",7012,1981,22,"A","Y","COSMOS 1250","1981-022A",12320
"29692","2016-033C",41558,"PAYLOAD","NUSAT 2","ARGN","2016-05-30","TSC","",94.17,97.42,488,468,"",NA,0,"MEDIUM",7013,2016,33,"C","Y","NUSAT 2","2016-033C",41558
"29693","1991-050A",21574,"PAYLOAD","ERS 1","ESA","1991-07-17","FRGUI","",100.16,98.55,790,742,"",NA,0,"LARGE",7012,1991,50,"A","Y","ERS 1","1991-050A",21574
"29694","1991-042A",21422,"PAYLOAD","COSMOS 2151","CIS","1991-06-13","PKMTR","",96.51,82.5,601,582,"",NA,0,"LARGE",7012,1991,42,"A","Y","COSMOS 2151","1991-042A",21422
"29695","1992-044A",22049,"PAYLOAD","GEOTAIL","JPN","1992-07-24","AFETR","",7489,20.32,192641,48197,"",NA,0,"LARGE",7014,1992,44,"A","Y","GEOTAIL","1992-044A",22049
"29696","2016-026B",41465,"PAYLOAD","AIST 2D","CIS","2016-04-28","VOSTO","",93.88,97.18,471,457,"",NA,0,"LARGE",7013,2016,26,"B","Y","AIST 2D","2016-026B",41465
"29697","1980-026A",11750,"PAYLOAD","COSMOS 1171","CIS","1980-04-03","PKMTR","",104.83,65.84,995,978,"",NA,0,"LARGE",7012,1980,26,"A","Y","COSMOS 1171","1980-026A",11750
"29698","1981-074F",12641,"PAYLOAD","COSMOS 1292","CIS","1981-08-06","PKMTR","",115.32,74.03,1477,1463,"",NA,0,"MEDIUM",7012,1981,74,"F","Y","COSMOS 1292","1981-074F",12641
"29699","2017-008M",41959,"PAYLOAD","FLOCK 3P 21","US","2017-02-15","SRI","",94.35,97.4,492,482,"",NA,0,"SMALL",7013,2017,8,"M","Y","FLOCK 3P 21","2017-008M",41959
"29701","1980-102D",12110,"PAYLOAD","COSMOS 1231","CIS","1980-12-23","PKMTR","",114.55,73.99,1464,1405,"",NA,0,"MEDIUM",7012,1980,102,"D","Y","COSMOS 1231","1980-102D",12110
"29702","1996-029A",23893,"PAYLOAD","USA 119","US","1996-05-12","AFWTR","",107.39,63.37,1604,608,"",NA,0,"",6954,1996,29,"A","Y","USA 119","1996-029A",23893
"29703","2016-067G",41854,"PAYLOAD","PROMETHEUS 2-1","US","2016-11-11","AFWTR","",96.2,97.92,583,570,"",NA,0,"SMALL",7006,2016,67,"G","Y","PROMETHEUS 2-1","2016-067G",41854
"29705","2007-013B",31136,"PAYLOAD","AAM/PSLV","IND","2007-04-23","SRI","",93.09,2.5,429,423,"",NA,0,"LARGE",7008,2007,13,"B","Y","AAM/PSLV","2007-013B",31136
"29707","2014-037A",40069,"PAYLOAD","METEOR M2","CIS","2014-07-08","TTMTR","",101.36,98.55,828,818,"",NA,0,"LARGE",7012,2014,37,"A","Y","METEOR M2","2014-037A",40069
"29708","2017-008CR",42035,"PAYLOAD","FLOCK 3P 63","US","2017-02-15","SRI","",94.39,97.4,494,484,"",NA,0,"SMALL",7014,2017,8,"CR","Y","FLOCK 3P 63","2017-008CR",42035
"29710","2017-008U",41966,"PAYLOAD","FLOCK 3P 2","US","2017-02-15","SRI","",94.4,97.4,494,484,"",NA,0,"SMALL",7013,2017,8,"U","Y","FLOCK 3P 2","2017-008U",41966
"29711","2017-008DA",42044,"PAYLOAD","FLOCK 3P 87","US","2017-02-15","SRI","",94.39,97.41,494,484,"",NA,0,"SMALL",7014,2017,8,"DA","Y","FLOCK 3P 87","2017-008DA",42044
"29712","1991-084B",21814,"PAYLOAD","INMARSAT 2-F3","IM","1991-12-16","FRGUI","",1499.03,12.09,37077,36943,"",NA,0,"LARGE",7014,1991,84,"B","Y","INMARSAT 2-F3","1991-084B",21814
"29713","2017-008C",41950,"PAYLOAD","FLOCK 3P 20","US","2017-02-15","SRI","",94.39,97.4,495,484,"",NA,0,"SMALL",7013,2017,8,"C","Y","FLOCK 3P 20","2017-008C",41950
"29714","1991-050B",21575,"PAYLOAD","OSCAR 22 (UoSAT 5)","UK","1991-07-17","FRGUI","",99.94,98.68,761,750,"",NA,0,"MEDIUM",7012,1991,50,"B","Y","OSCAR 22 (UoSAT 5)","1991-050B",21575
"29715","1980-102C",12109,"PAYLOAD","COSMOS 1230","CIS","1980-12-23","PKMTR","",114.48,73.99,1464,1399,"",NA,0,"MEDIUM",7012,1980,102,"C","Y","COSMOS 1230","1980-102C",12109
"29716","2014-036B",40062,"PAYLOAD","GONETS M 09 (M19)","CIS","2014-07-03","PKMTR","",115.86,82.51,1511,1477,"",NA,0,"LARGE",7012,2014,36,"B","Y","GONETS M 09 (M19)","2014-036B",40062
"29717","2016-033B",41557,"PAYLOAD","NUSAT 1","ARGN","2016-05-30","TSC","",94.28,97.42,494,473,"",NA,0,"MEDIUM",7015,2016,33,"B","Y","NUSAT 1","2016-033B",41557
"29718","2014-033H",40017,"PAYLOAD","TABLETSAT AURORA","CIS","2014-06-19","OREN","",96.43,97.99,603,572,"",NA,0,"MEDIUM",7012,2014,33,"H","Y","TABLETSAT AURORA","2014-033H",40017
"29719","1980-058G",11881,"PAYLOAD","COSMOS 1198","CIS","1980-07-09","PKMTR","",115.78,74.02,1509,1473,"",NA,0,"MEDIUM",7012,1980,58,"G","Y","COSMOS 1198","1980-058G",11881
"29720","1991-041A",21418,"PAYLOAD","COSMOS 2150","CIS","1991-06-11","PKMTR","",100.58,74.04,798,774,"",NA,0,"LARGE",7012,1991,41,"A","Y","COSMOS 2150","1991-041A",21418
"29721","2017-001A",41911,"PAYLOAD","TJS-2","PRC","2017-01-05","XSC","",1436.12,0.2,35812,35762,"",NA,0,"LARGE",7014,2017,1,"A","Y","TJS-2","2017-001A",41911
"29722","1999-031D",25773,"PAYLOAD","GLOBALSTAR M052","GLOB","1999-06-10","AFETR","",129.14,51.99,2087,2083,"",NA,0,"LARGE",7012,1999,31,"D","Y","GLOBALSTAR M052","1999-031D",25773
"29723","2006-020A",29162,"PAYLOAD","EUTE 113 WEST A(SATMEX 6","EUTE","2006-05-27","FRGUI","",1436.09,0.05,35799,35774,"",NA,0,"LARGE",7015,2006,20,"A","Y","EUTE 113 WEST A(SATMEX 6","2006-020A",29162
