,OBJECT_TYPE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,LAUNCH_YEAR,SMA,e,n
5,"""PAYLOAD""","""""",132.74,34.25,3830.0,654.0,"""MEDIUM""","""1958""",8620000.0,0.1842227378190255,0.0007889088075912292
14,"""PAYLOAD""","""""",121.44,32.88,2936.0,554.0,"""MEDIUM""","""1959""",8123000.0,0.1466207066354795,0.0008623168241078704
25,"""PAYLOAD""","""""",124.58,33.34,3260.0,509.0,"""MEDIUM""","""1959""",8262500.0,0.1664750378214826,0.0008405823978139329
29,"""PAYLOAD""","""""",96.26,50.28,676.0,484.0,"""MEDIUM""","""1959""",6958000.0,0.013797068123023858,0.0010878844288350277
38,"""PAYLOAD""","""""",97.66,48.38,664.0,630.0,"""MEDIUM""","""1960""",7025000.0,0.002419928825622776,0.0010722891165232417
57,"""PAYLOAD""","""""",100.44,66.69,967.0,592.0,"""MEDIUM""","""1960""",7157500.0,0.02619629758994062,0.001042610066902228
58,"""PAYLOAD""","""""",99.35,66.69,871.0,583.0,"""MEDIUM""","""1960""",7105000.0,0.020267417311752287,0.0010540488688440843
72,"""PAYLOAD""","""""",106.96,28.33,1209.0,963.0,"""LARGE""","""1960""",7464000.0,0.01647909967845659,0.0009790553021658543
124,"""PAYLOAD""","""""",102.17,28.79,1256.0,467.0,"""MEDIUM""","""1961""",7239500.0,0.054492713585192344,0.0010249560058692353
128,"""PAYLOAD""","""""",103.46,66.81,977.0,867.0,"""MEDIUM""","""1961""",7300000.0,0.007534246575342466,0.001012176252848055
153,"""PAYLOAD""","""""",103.61,66.81,984.0,874.0,"""MEDIUM""","""1961""",7307000.0,0.007527028876419871,0.0010107108881349269
448,"""PAYLOAD""","""""",99.72,47.9,777.0,713.0,"""MEDIUM""","""1961""",7123000.0,0.004492489119752913,0.0010501379374213775
494,"""PAYLOAD""","""""",105.61,32.44,1097.0,948.0,"""LARGE""","""1961""",7400500.0,0.010066887372474832,0.0009915704490072888
495,"""PAYLOAD""","""""",105.69,32.44,1103.0,951.0,"""MEDIUM""","""1961""",7405000.0,0.010263335584064821,0.0009908198989465396
509,"""PAYLOAD""","""""",99.6,48.3,795.0,684.0,"""MEDIUM""","""1962""",7117500.0,0.00779768177028451,0.0010514031638520058
570,"""PAYLOAD""","""""",98.84,58.09,843.0,563.0,"""MEDIUM""","""1962""",7081000.0,0.01977121875441322,0.0010594876074429356
579,"""PAYLOAD""","""""",157.74,44.79,5646.0,939.0,"""MEDIUM""","""1962""",9670500.0,0.24336900884132154,0.0006638757139575235
598,"""PAYLOAD""","""""",97.04,98.46,682.0,552.0,"""MEDIUM""","""1962""",6995000.0,0.009292351679771264,0.0010791400981003685
626,"""PAYLOAD""","""""",96.73,58.3,611.0,594.0,"""MEDIUM""","""1962""",6980500.0,0.0012176778167753027,0.001082598522895273
640,"""PAYLOAD""","""""",105.17,80.46,1019.0,986.0,"""LARGE""","""1962""",7380500.0,0.002235620892893435,0.0009957188848498599
683,"""PAYLOAD""","""""",107.84,50.14,1180.0,1074.0,"""MEDIUM""","""1962""",7505000.0,0.007061958694203864,0.0009710659784834918
