INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092AA","49537","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","96.14","82.56","691","456","","","0","MEDIUM","7961","1982","92","AA","Y","COSMOS 1408 DEB","1982-092AA","49537"
"1982-092AAA","50309","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","97.33","82.64","818","444","","","0","SMALL","7964","1982","92","AAA","Y","COSMOS 1408 DEB","1982-092AAA","50309"
"1982-092AAB","50310","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","92.05","82.69","427","323","","","0","SMALL","7965","1982","92","AAB","Y","COSMOS 1408 DEB","1982-092AAB","50310"
"1982-092AAC","50311","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.95","82.52","521","415","","","0","SMALL","7965","1982","92","AAC","Y","COSMOS 1408 DEB","1982-092AAC","50311"
"1982-092AAD","50312","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.44","82.54","525","458","","","0","SMALL","7964","1982","92","AAD","Y","COSMOS 1408 DEB","1982-092AAD","50312"
"1982-092AAE","50313","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.41","82.89","522","458","","","0","SMALL","7964","1982","92","AAE","Y","COSMOS 1408 DEB","1982-092AAE","50313"
"1982-092AAF","50314","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","95.05","83.26","581","461","","","0","SMALL","7965","1982","92","AAF","Y","COSMOS 1408 DEB","1982-092AAF","50314"
"1982-092AAG","50315","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.62","82.78","465","438","","","0","SMALL","7965","1982","92","AAG","Y","COSMOS 1408 DEB","1982-092AAG","50315"
"1982-092AAH","50316","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.84","82.53","567","455","","","0","SMALL","7965","1982","92","AAH","Y","COSMOS 1408 DEB","1982-092AAH","50316"
"1982-092AAJ","50317","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.63","82.51","563","438","","","0","SMALL","7965","1982","92","AAJ","Y","COSMOS 1408 DEB","1982-092AAJ","50317"
